ubuntu;13.39.87.142
ubuntu;35.180.111.177
ubuntu;13.38.228.179
ubuntu;13.39.19.214
ubuntu;13.36.211.168
ubuntu;35.181.50.113	
ubuntu;13.38.129.200
ubuntu;15.188.59.60
ubuntu;13.39.81.184
ubuntu;15.236.209.227
ubuntu;35.180.139.241
ubuntu;13.38.119.173
ubuntu;35.180.109.155
ubuntu;13.38.119.173
ubuntu;13.38.130.17
ubuntu;13.37.217.201
ubuntu;15.188.56.27
ubuntu;13.38.244.148
ubuntu;52.47.82.59
ubuntu;13.38.7.22
ubuntu;13.38.230.179
ubuntu;15.188.54.31	
ubuntu;13.38.9.174
ubuntu;35.180.169.57	
ubuntu;15.188.14.66

